Video_ID,Author,Comment,Comment_No_Stopword,Sentiment,Sentiment_Words
6PPRQUyxsN8,Andy Jagodzinski,With the new information that just came out. Please bring back Adam. Can't believe that she lied.,new information came out. Please bring back Adam. Can't believe lied.,0.5399,Positive
6PPRQUyxsN8,Alex Anderson,"Not sure how anything is going to be any different than Kairi's last stint in WWE. After NXT she had little to nothing to show for it on the mains other than a tag champion of a title everyone knows WWE doesn't care about. Beyond that she was injured 3x by WWE proclaimed ""best in the world"" Nia Jax. All she's probably going to end up getting is the money bag.","sure anything going different Kairi's last stint WWE. NXT little nothing show mains tag champion title everyone knows WWE care about. Beyond injured 3x WWE proclaimed ""best world"" Nia Jax. probably going end getting money bag.",0.8979,Positive
6PPRQUyxsN8,demarco adkins,"John Cena did what he needed to do, not to mention I believe he is going to be on TBS a part of that Wipeout Show if I’m not mistaken.","John Cena needed do, mention believe going TBS part Wipeout Show I’m mistaken.",-0.3612,Negative
6PPRQUyxsN8,Anderson Contreras,Holy crap Luke on a Sunday 😢🎉😮❤ I love it,Holy crap Luke Sunday 😢🎉😮❤ love,0.3818,Positive
6PPRQUyxsN8,Reverend Puck,Add Asuka.,Add Asuka.,0.0,Neutral
6PPRQUyxsN8,Kevan Kochan,"Wow the David Beckham trolling ideas… Maybe cena posted the pic of Beckham bc he is married to a spice girl, and John is really teasing becoming Cena spice of the spice girls","Wow David Beckham trolling ideas… Maybe cena posted pic Beckham bc married spice girl, John really teasing becoming Cena spice spice girls",0.4951,Positive
6PPRQUyxsN8,Robert Tassi,"Banks/Mone is an injury, backstage, PR nightmare. If she's not hurt, she has major heat backstage or she's getting mad at fans during signings.  I really hope they don't resign her and she disappeares into obscurity.","Banks/Mone injury, backstage, PR nightmare. hurt, major heat backstage getting mad fans signings. really hope resign disappeares obscurity.",-0.8353,Negative
6PPRQUyxsN8,boombastic108,"Osprey in WWE severely limits his ability to have great matches. There's maybe 2 people in WWE that could have a good match with him. His options literally anywhere else are much more, much better, and much brighter.","Osprey WWE severely limits ability great matches. There's maybe 2 people WWE could good match him. options literally anywhere else much more, much better, much brighter.",0.9017,Positive
6PPRQUyxsN8,arawakny888,The writer strike ended in September. Cena will be leaving soon.,writer strike ended September. Cena leaving soon.,-0.128,Negative
6PPRQUyxsN8,Stasiu Stanley,4:24 Wrestling fans are cringey lol!,4:24 Wrestling fans cringey lol!,0.4753,Positive
